Comment,Designator,Footprint,JLCPCB Part#,Mouser Part#,Qty
MMBTA92,Q2,SOT-23,C85182,,1
10k,"R12,R6,R19,R20,R11,R3,R10,R8,R7,R9,R24,R1,R14,R5,R4,R13",R_0402_1005Metric,C25744,,16
10k,R16,R_1206_3216Metric,C17902,,1
74HC595,"U2,U3",SOIC-16_3.9x9.9mm_P1.27mm,C5947,,2
100n,"C14,C10,C13,C16,C12,C3,C20",C_0402_1005Metric,C1525,,7
1u,"C19,C2,C18",C_0402_1005Metric,C52923,,3
100n/250v,C6,C_1206_3216Metric,C5137643,,1
14p,"C11,C15",C_0402_1005Metric,C1548,,2
MMBTA42,"Q8,Q11,Q10,Q13,Q4,Q3,Q7,Q9,Q6,Q12,Q5",SOT-23,C466651,,11
10k,RV1,Potentiometer_Bourns_3266W_Vertical,C123430,,1
1M5,R2,R_2512_6332Metric,C337221,,1
IRF644PBF,Q1,TO-220-3_Vertical,,844-IRF644PBF ,1
MAX1771ESA+T,U1,SO-8_3.9x4.9mm_P1.27mm,C407903,,1
DS3231MZ,U8,SOP-8_4.93mmxP1.27mm,C107410,,1
5k1,"R22,R21",R_0402_1005Metric,C25905,,2
22u,"C7,C8",C_0805_2012Metric,C45783,,2
1k5,"R23,R26,R18,R25",R_0402_1005Metric,C25867,,4
10u,C9,C_0603_1608Metric,C96446,,1
Nixie,N1,IN12,,,1
1n,C21,C_0402_1005Metric,C1523,,1
Battery,BT1,BAT-HLD-005-THM,,712-BAT-HLD-005-THM ,1
ES2F-E3/5BT,D1,D_SMB,C222525,,1
120R,FB1,L_0603_1608Metric,C96702,,1
100uH,L1,SMDRS1275-101N,C163688,,1
USBLC6-2SC6,U6,SOT-23-6,C5310974,,1
RED,D2,LED_0603_1608Metric,C2286,,1
SolderJumper_2_Open,"JP1,JP2",PinHeader_1x02_P2.54mm_Vertical,,,2
AMS1117-3.3,U4,SOT-223-3_TabPin2,C6186,,1
8Mhz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C403948,,1
68u,C1,EEE-FN1E680P,C494823,,1
0.05R,RS1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C912768,,1
Conn_01x04_Pin,J2,PinHeader_1x04_P2.54mm_Vertical,,,1
10n,C17,C_0402_1005Metric,C15195,,1
100k,"R15,R17",R_0402_1005Metric,C2759534,,2
USB_C_Receptacle,J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,,1
STM32F103CBTx,U5,LQFP-48_7x7mm_P0.5mm,C8304,,1
4.7u/250v,C4,CP_Radial_D8.0mm_P3.50mm,,80-A759KS475M2EAE496 ,1
100p/250v,C5,C_0805_2012Metric,C2929108,,1
100k 1206,,,C104603,,1
