Designator,Val,Package,Mid X,Mid Y,Rotation,Side
Q1,MMBTA42,SOT-23,248,-90,180,top
Q2,MMBTA42,SOT-23,58.9375,-87.55,0,top
Q3,MMBTA42,SOT-23,59,-82.5,0,top
Q4,MMBTA42,SOT-23,59,-77.5,0,top
Q5,MMBTA42,SOT-23,59,-72.5,0,top
Q6,MMBTA42,SOT-23,59,-67.5,0,top
Q7,MMBTA42,SOT-23,248,-70,180,top
Q8,MMBTA42,SOT-23,248.0625,-75.05,180,top
Q9,MMBTA42,SOT-23,248,-80,180,top
Q10,MMBTA42,SOT-23,248.0625,-85.05,180,top
Q11,MMBTA42,SOT-23,58.9375,-92.45,0,top
Q12,MMBTA92,SOT-23,69,-94,0,top
Q13,MMBTA42,SOT-23,69,-98,180,top
Q14,MMBTA92,SOT-23,93,-94,0,top
Q15,MMBTA42,SOT-23,93,-98,180,top
Q16,MMBTA92,SOT-23,117,-94,0,top
Q17,MMBTA42,SOT-23,117,-98,180,top
Q18,MMBTA92,SOT-23,141,-94,0,top
Q19,MMBTA42,SOT-23,141,-98,180,top
Q20,MMBTA92,SOT-23,165,-94,0,top
Q21,MMBTA42,SOT-23,165,-98,180,top
Q22,MMBTA92,SOT-23,189,-94,0,top
Q23,MMBTA42,SOT-23,189,-98,180,top
Q24,MMBTA92,SOT-23,213,-94,0,top
Q25,MMBTA42,SOT-23,213,-98,180,top
Q26,MMBTA92,SOT-23,237,-94,0,top
Q27,MMBTA42,SOT-23,237,-98,180,top
R1,10k,R_0603_1608Metric,57,-111,180,top
R2,10k,R_0603_1608Metric,251.5,-91,180,top
R3,10k,R_0603_1608Metric,55.4,-86.6,0,top
R4,10k,R_0603_1608Metric,55.5,-81.6,0,top
R5,412k,R_1206_3216Metric,69,-65,90,top
R6,412k,R_1206_3216Metric,93,-65,90,top
R7,412k,R_1206_3216Metric,117,-65,90,top
R8,10k,R_0603_1608Metric,55.5,-76.6,0,top
R9,10k,R_0603_1608Metric,55.5,-71.6,0,top
R10,10k,R_0603_1608Metric,55.5,-66.6,0,top
R11,412k,R_1206_3216Metric,138,-65,90,top
R12,412k,R_1206_3216Metric,144,-65,90,top
R13,10k,R_0603_1608Metric,251.5,-71,180,top
R14,10k,R_0603_1608Metric,251.6,-76,180,top
R15,10k,R_0603_1608Metric,251.5,-81,180,top
R16,412k,R_1206_3216Metric,153,-65,90,top
R17,412k,R_1206_3216Metric,162,-65,90,top
R18,412k,R_1206_3216Metric,168,-65,90,top
R19,10k,R_0603_1608Metric,251.6,-86,180,top
R20,10k,R_0603_1608Metric,55.4,-91.5,0,top
R21,412k,R_1206_3216Metric,189,-65,90,top
R22,100k,R_0603_1608Metric,55.4,-93.5,180,top
R23,412k,R_1206_3216Metric,213,-65,90,top
R24,412k,R_1206_3216Metric,237,-65,90,top
R25,10k,R_1206_3216Metric,65.86,-94,90,top
R26,412k,R_1206_3216Metric,63.49,-95.52,-90,top
R27,10k,R_1206_3216Metric,73,-92,90,top
R28,10k,R_0603_1608Metric,72.5625,-98.95,180,top
R29,10k,R_1206_3216Metric,89.86,-94,90,top
R30,412k,R_1206_3216Metric,87.49,-95.52,-90,top
R31,10k,R_1206_3216Metric,97,-92,90,top
R32,10k,R_0603_1608Metric,96.5625,-98.95,180,top
R33,10k,R_1206_3216Metric,113.86,-94,90,top
R34,412k,R_1206_3216Metric,111.49,-95.52,-90,top
R35,10k,R_1206_3216Metric,121,-92,90,top
R36,10k,R_0603_1608Metric,120.5625,-98.95,180,top
R37,10k,R_1206_3216Metric,137.86,-94,90,top
R38,412k,R_1206_3216Metric,135.49,-95.52,-90,top
R39,10k,R_1206_3216Metric,145,-92,90,top
R40,10k,R_0603_1608Metric,144.5625,-98.95,180,top
R41,10k,R_1206_3216Metric,161.86,-94,90,top
R42,412k,R_1206_3216Metric,159.49,-95.52,-90,top
R43,10k,R_1206_3216Metric,169,-92,90,top
R44,10k,R_0603_1608Metric,168.5625,-98.95,180,top
R45,10k,R_1206_3216Metric,185.86,-94,90,top
R46,412k,R_1206_3216Metric,183.49,-95.52,-90,top
R47,10k,R_1206_3216Metric,193,-92,90,top
R48,10k,R_0603_1608Metric,192.5625,-98.95,180,top
R49,10k,R_1206_3216Metric,209.86,-94,90,top
R50,412k,R_1206_3216Metric,207.49,-95.52,-90,top
R51,10k,R_1206_3216Metric,217,-92,90,top
R52,10k,R_0603_1608Metric,216.5625,-98.95,180,top
R53,10k,R_1206_3216Metric,233.86,-94,90,top
R54,412k,R_1206_3216Metric,231.49,-95.52,-90,top
R55,10k,R_1206_3216Metric,241,-92,90,top
R56,10k,R_0603_1608Metric,240.5625,-98.95,180,top
U1,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,249,-105,180,top
U2,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,153,-100,90,top
U3,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,57,-105,0,top
